162,360,459,25
193,189,19,27
197,81,532,29
202,82,637,26
202,82,639,28
203,80,514,30
206,75,509,31
206,75,510,36
206,75,511,30
207,82,510,29
213,72,549,29
213,72,550,29
213,79,533,29
213,79,535,33
232,85,436,29
234,139,171,26
234,143,149,38
235,402,667,26
235,405,654,25
236,409,636,25
237,87,504,27
240,178,42,31
240,178,43,33
241,174,44,27
241,178,42,37
242,173,43,25
243,77,403,28
254,87,610,25
255,86,606,27
255,86,611,26
255,130,172,26
257,104,293,25
258,82,555,27
258,83,555,27
260,81,561,26
260,83,621,25
260,86,694,27
260,192,158,28
261,82,615,27
261,82,616,30
261,82,617,29
261,89,680,25
261,90,692,26
262,79,596,26
262,82,695,25
262,82,696,27
262,85,577,27
262,86,612,27
264,79,617,27
265,79,620,31
265,80,559,27
265,80,601,25
265,81,579,26
265,81,696,25
265,81,697,26
265,81,698,26
266,79,564,27
266,81,629,27
266,83,680,26
266,83,715,25
266,83,716,25
267,77,606,26
267,77,607,27
267,78,565,28
267,81,661,28
268,43,589,28
268,80,559,29
268,80,560,30
268,80,562,26
268,80,662,26
268,82,710,27
268,82,711,27
269,77,652,26
269,79,558,25
269,80,564,28
269,81,564,25
269,81,695,26
269,82,564,28
269,82,726,26
269,83,722,26
269,83,723,30
269,83,726,26
269,138,241,27
270,76,595,26
270,79,609,27
270,81,711,27
270,81,717,26
271,76,594,25
271,78,582,25
271,80,720,25
271,81,721,26
272,80,720,25
272,80,723,25
272,81,721,26
272,81,728,26
273,49,580,28
273,75,688,25
273,78,575,26
273,80,722,28
274,77,554,28
274,77,556,27
274,77,685,25
274,77,686,26
274,78,572,26
274,78,659,25
274,79,683,25
275,80,737,25
276,77,586,27
280,75,582,27
281,74,588,28
282,74,566,27
282,74,567,25
282,74,581,26
282,75,647,27
283,43,547,29
283,71,687,27
283,72,686,25
283,72,687,27
283,75,718,27
283,76,717,28
283,76,724,25
284,73,686,27
284,74,542,30
284,74,651,30
284,74,702,27
284,74,703,27
284,76,671,25
284,144,85,35
284,144,86,35
284,144,87,41
285,72,700,26
285,74,670,26
285,76,635,25
285,77,717,27
285,77,718,26
286,76,740,25
287,73,600,26
287,74,653,26
287,74,654,25
288,73,600,26
288,145,94,30
288,145,95,28
289,71,695,25
289,74,631,26
289,74,632,27
289,149,76,27
290,73,560,25
290,74,561,26
290,74,562,26
290,74,634,28
290,74,644,26
290,75,558,26
290,77,732,27
290,89,462,26
290,89,464,29
290,152,86,26
291,176,54,42
291,176,57,34
293,137,107,40
295,71,615,25
295,72,639,27
295,72,640,26
296,70,675,25
296,70,686,25
296,71,674,27
296,71,676,26
296,71,677,26
296,71,678,27
296,130,158,27
297,70,658,28
297,73,561,25
297,74,561,25
298,72,711,27
298,72,712,26
298,72,721,26
298,74,558,26
298,74,560,29
299,71,715,25
299,72,592,27
299,72,593,26
299,73,557,26
300,69,610,26
300,69,611,29
300,71,717,26
302,68,610,25
303,71,611,26
304,71,615,26
305,41,635,26
305,89,246,31
306,70,559,26
306,73,633,26
306,135,112,26
307,65,690,26
308,38,574,36
309,65,665,26
309,65,666,25
309,65,667,26
309,65,668,26
309,66,638,26
309,66,639,25
309,125,134,33
309,125,136,32
310,66,599,27
310,66,601,26
310,66,604,25
310,67,716,26
310,67,717,26
310,67,718,26
310,67,724,28
310,67,726,26
311,43,564,26
311,43,565,32
311,66,644,25
311,69,705,25
311,141,117,26
313,63,641,27
313,63,643,26
313,64,671,26
313,65,716,27
313,67,712,27
313,67,713,26
313,67,714,25
313,67,717,28
314,65,691,28
314,65,692,31
314,65,693,30
314,65,694,30
314,65,695,28
314,67,722,26
315,99,343,30
315,99,344,28
316,64,611,26
316,64,663,25
316,64,665,25
316,129,135,28
318,65,600,25
318,65,627,29
318,65,628,27
318,65,629,26
319,69,776,25
319,73,794,26
319,73,795,27
320,40,683,28
320,40,684,39
320,40,685,32
321,69,775,25
321,69,776,25
323,40,623,27
323,65,565,26
323,65,566,26
324,66,734,25
325,126,110,26
326,88,261,29
326,126,128,34
326,126,129,34
327,62,614,25
329,38,645,27
329,92,355,28
329,130,111,25
335,38,651,27
335,38,652,26
337,131,125,31
338,137,189,33
339,139,75,31
340,39,621,26
340,40,641,36
340,91,439,31
341,38,549,26
344,74,301,28
344,74,302,29
344,74,303,29
344,90,371,26
345,34,611,37
346,30,618,37
346,30,619,26
346,88,370,26
347,35,676,28
349,37,578,33
349,81,238,27
349,81,240,33
351,36,620,27
351,36,621,32
354,35,661,28
355,38,684,27
370,39,456,30
370,39,457,29
371,93,450,28
377,35,674,27
436,354,230,25
436,354,233,29
438,355,222,31
438,355,224,44
438,355,225,36
440,356,215,34
440,356,216,52
441,356,216,36
441,356,217,30
445,357,225,28
447,358,227,30
447,358,229,226
447,358,231,35
448,358,230,31
448,358,231,105
448,358,232,107
449,358,234,51
449,358,235,71
450,358,237,81
450,358,239,34
451,358,239,50
451,358,241,77
451,358,242,29
452,358,244,182
452,358,245,42
453,358,244,34
453,358,246,255
454,358,248,47
454,358,249,31
455,357,252,26
455,357,253,26
456,357,256,145
457,357,258,37
567,285,160,30
567,285,162,51
567,285,163,29
